re;area
торопецк[и|о][й|г|м][о|у]?;Торопецкий р-н
асиновск[и|о][й|г|м][о|у]?;Асиновский р-н
колпашевск[и|о][й|г|м][о|у]?;Колпашевский р-н
алексинск[и|о][й|г|м][о|у]?;Алексинский р-н
белевск[и|о][й|г|м][о|у]?;Белевский р-н
богородицк[и|о][й|г|м][о|у]?;Богородицкий р-н
киреевск[и|о][й|г|м][о|у]?;Киреевский р-н
веневск[и|о][й|г|м][о|у]?;Веневский р-н
ефремовск[и|о][й|г|м][о|у]?;Ефремовский р-н
кимовск[и|о][й|г|м][о|у]?;Кимовский р-н
новомосковск[и|о][й|г|м][о|у]?;Новомосковский р-н
плавск[и|о][й|г|м][о|у]?;Плавский р-н
щекинск[и|о][й|г|м][о|у]?;Щекинский р-н
суворовск[и|о][й|г|м][о|у]?;Суворовский р-н
узловск[и|о][й|г|м][о|у]?;Узловский р-н
ясногорск[и|о][й|г|м][о|у]?;Ясногорский р-н
пий-хемск[и|о][й|г|м][о|у]?;Пий-Хемский р-н
дзун-хемчикск[и|о][й|г|м][о|у]?;Дзун-Хемчикский р-н
улуг-хемск[и|о][й|г|м][о|у]?;Улуг-Хемский р-н
камбарск[и|о][й|г|м][о|у]?;Камбарский р-н
барышск[и|о][й|г|м][о|у]?;Барышский р-н
инзенск[и|о][й|г|м][о|у]?;Инзенский р-н
сенгилеевск[и|о][й|г|м][о|у]?;Сенгилеевский р-н
сургутск[и|о][й|г|м][о|у]?;Сургутский р-н
ашинск[и|о][й|г|м][о|у]?;Ашинский р-н
саткинск[и|о][й|г|м][о|у]?;Саткинский р-н
верхнеуральск[и|о][й|г|м][о|у]?;Верхнеуральский р-н
еманжелинск[и|о][й|г|м][о|у]?;Еманжелинский р-н
карталинск[и|о][й|г|м][о|у]?;Карталинский р-н
каслинск[и|о][й|г|м][о|у]?;Каслинский р-н
катав-ивановск[и|о][й|г|м][о|у]?;Катав-Ивановский р-н
коркинск[и|о][й|г|м][о|у]?;Коркинский р-н
кусинск[и|о][й|г|м][о|у]?;Кусинский р-н
нязепетровск[и|о][й|г|м][о|у]?;Нязепетровский р-н
пластовск[и|о][й|г|м][о|у]?;Пластовский р-н
гудермесск[и|о][й|г|м][о|у]?;Гудермесский р-н
курчалоевск[и|о][й|г|м][о|у]?;Курчалоевский р-н
урус-мартановск[и|о][й|г|м][о|у]?;Урус-Мартановский р-н
шалинск[и|о][й|г|м][о|у]?;Шалинский р-н
козловск[и|о][й|г|м][о|у]?;Козловский р-н
мариинско-посадск[и|о][й|г|м][о|у]?;Мариинско-Посадский р-н
цивильск[и|о][й|г|м][о|у]?;Цивильский р-н
ядринск[и|о][й|г|м][о|у]?;Ядринский р-н
билибинск[и|о][й|г|м][о|у]?;Билибинский р-н
чаунск[и|о][й|г|м][о|у]?;Чаунский р-н
алданск[и|о][й|г|м][о|у]?;Алданский
верхоянск[и|о][й|г|м][о|у]?;Верхоянский
вилюйск[и|о][й|г|м][о|у]?;Вилюйский
ленск[и|о][й|г|м][о|у]?;Ленский
мирнинск[и|о][й|г|м][о|у]?;Мирнинский
нюрбинск[и|о][й|г|м][о|у]?;Нюрбинский
олекминск[и|о][й|г|м][о|у]?;Олекминский
хангаласск[и|о][й|г|м][о|у]?;Хангаласский
среднеколымск[и|о][й|г|м][о|у]?;Среднеколымский
пуровск[и|о][й|г|м][о|у]?;Пуровский р-н
гаврилов-ямск[и|о][й|г|м][о|у]?;Гаврилов-Ямский р-н
даниловск[и|о][й|г|м][о|у]?;Даниловский р-н
любимск[и|о][й|г|м][о|у]?;Любимский р-н
мышкинск[и|о][й|г|м][о|у]?;Мышкинский р-н
пошехонск[и|о][й|г|м][о|у]?;Пошехонский р-н
ростовск[и|о][й|г|м][о|у]?;Ростовский р-н
тутаевск[и|о][й|г|м][о|у]?;Тутаевский р-н
угличск[и|о][й|г|м][о|у]?;Угличский р-н
клинск[и|о][й|г|м][о|у]?;Клинский р-н
одинцовск[и|о][й|г|м][о|у]?;Одинцовский р-н
наро-фоминск[и|о][й|г|м][о|у]?;Наро-фоминский р-н
щ[е|ё]лковск[и|о][й|г|м][о|у]?;Щелковский р-н
пушкинск[и|о][й|г|м][о|у]? ;Пушкинский р-н
раменск[и|о][й|г|м][о|у]? ;Раменский р-н
